date,value
2020-05-01,6.05
2020-05-04,5.48
2020-05-05,5.39
2020-05-06,4.93
2020-05-07,4.87
2020-05-08,4.98
2020-05-11,4.76
2020-05-12,4.54
2020-05-13,4.21
2020-05-14,4.13
2020-05-15,4.22
2020-05-18,4.58
2020-05-19,4.44
2020-05-20,4.43
2020-05-21,4.44
2020-05-22,4.18
2020-05-26,4.42
2020-05-27,4.69
2020-05-28,4.33
2020-05-29,4.06
2020-06-01,4.13
2020-06-02,4.18
2020-06-03,4.44
2020-06-04,4.47
2020-06-05,4.14
2020-06-08,5.01
2020-06-09,4.96
2020-06-10,5.07
2020-06-11,4.37
2020-06-12,4.72
2020-06-15,4.69
2020-06-16,4.64
2020-06-17,4.76
2020-06-18,4.95
2020-06-19,4.88
2020-06-22,4.87
2020-06-23,4.83
2020-06-24,4.41
2020-06-25,4.46
2020-06-26,4.35
2020-06-29,4.38
2020-06-30,4.34
2020-07-01,4.44
2020-07-02,4.29
2020-07-06,4.24
2020-07-07,4.09
2020-07-08,4.26
2020-07-09,4.21
2020-07-10,4.34
2020-07-13,4.26
2020-07-14,4.08
2020-07-15,4.19
2020-07-16,4.17
2020-07-17,3.96
2020-07-20,3.85
2020-07-21,4.01
2020-07-22,4.11
2020-07-23,4.11
2020-07-24,4.03
2020-07-27,4.01
2020-07-28,3.94
2020-07-29,4.06
2020-07-30,4.1
2020-07-31,4.01
2020-08-03,4.15
2020-08-04,4.43
2020-08-05,4.63
2020-08-06,4.43
2020-08-07,4.16
2020-08-10,4.33
2020-08-11,4.35
2020-08-12,4.52
2020-08-13,4.64
2020-08-14,4.75
2020-08-17,4.63
2020-08-18,4.81
2020-08-19,4.72
2020-08-20,4.61
2020-08-21,5.03
2020-08-24,4.87
2020-08-25,4.98
2020-08-26,5.11
2020-08-27,5.25
2020-08-28,5.39
2020-08-31,6.68
2020-09-01,7.65
2020-09-02,7.71
2020-09-03,7.82
2020-09-04,7.65
2020-09-08,7.7
2020-09-09,7.35
2020-09-10,6.23
2020-09-11,6.09
2020-09-14,6.91
2020-09-15,7.09
2020-09-16,8.68
2020-09-17,9.2
2020-09-18,9.47
2020-09-21,8.75
2020-09-22,10.56
2020-09-23,10.04
2020-09-24,9.14
2020-09-25,10.02
2020-09-28,10.09
2020-09-29,10.35
2020-09-30,10.2
2020-10-01,9.77
2020-10-02,9.39
2020-10-05,9.46
2020-10-06,9.13
2020-10-07,9.36
2020-10-08,13.49
2020-10-09,12.02
2020-10-12,11.8
2020-10-13,11.88
2020-10-14,12.25
2020-10-15,13.83
2020-10-16,13.31
2020-10-19,13.91
2020-10-20,13.86
2020-10-21,14.1
2020-10-22,14.91
2020-10-23,15.0
2020-10-26,13.45
2020-10-27,12.69
2020-10-28,11.82
2020-10-29,11.73
2020-10-30,10.47
2020-11-02,10.75
2020-11-03,11.57
2020-11-04,10.91
2020-11-05,11.45
2020-11-06,11.86
2020-11-09,11.49
2020-11-10,11.1
2020-11-11,11.75
2020-11-12,11.13
2020-11-13,11.01
2020-11-16,12.06
2020-11-17,11.63
2020-11-18,11.57
2020-11-19,12.46
2020-11-20,12.71
2020-11-23,13.9
2020-11-24,13.67
2020-11-25,14.75
2020-11-27,16.08
2020-11-30,16.559998999999998
2020-12-01,15.8
2020-12-02,16.58
2020-12-03,16.120001000000002
2020-12-04,16.9
2020-12-07,16.35
2020-12-08,16.940001000000002
2020-12-09,13.66
2020-12-10,14.12
2020-12-11,13.31
2020-12-14,12.72
2020-12-15,13.85
2020-12-16,13.85
2020-12-17,14.83
