date,value
2020-12-18,15.63
2020-12-21,15.53
2020-12-22,19.459999
2020-12-23,20.57
2020-12-24,20.15
2020-12-28,20.99
2020-12-29,19.379999
2020-12-30,19.26
2020-12-31,18.84
2021-01-04,17.25
2021-01-05,17.370001000000002
2021-01-06,18.360001
2021-01-07,18.08
2021-01-08,17.690001000000002
2021-01-11,19.940001
2021-01-12,19.950001
2021-01-13,31.4
2021-01-14,39.91
2021-01-15,35.5
2021-01-19,39.360001
2021-01-20,39.119999
2021-01-21,43.029999
2021-01-22,65.010002
2021-01-25,76.790001
2021-01-26,147.979996
2021-01-27,347.51001
2021-01-28,193.600006
2021-01-29,325.0
2021-02-01,225.0
2021-02-02,90.0
2021-02-03,92.410004
2021-02-04,53.5
2021-02-05,63.77
2021-02-08,60.0
2021-02-09,50.310001
2021-02-10,51.200001
2021-02-11,51.099998
2021-02-12,52.400002
2021-02-16,49.509998
2021-02-17,45.939999
2021-02-18,40.689999
2021-02-19,40.59
2021-02-22,46.0
2021-02-23,44.970001
2021-02-24,91.709999
2021-02-25,108.730003
2021-02-26,101.739998
2021-03-01,120.400002
2021-03-02,118.18
2021-03-03,124.18
2021-03-04,132.350006
2021-03-05,137.740005
2021-03-08,194.5
2021-03-09,246.899994
2021-03-10,265.0
2021-03-11,260.0
2021-03-12,264.5
2021-03-15,220.139999
2021-03-16,208.169998
2021-03-17,209.809998
2021-03-18,201.75
2021-03-19,200.270004
2021-03-22,194.490005
2021-03-23,181.75
2021-03-24,120.339996
2021-03-25,183.75
2021-03-26,181.0
2021-03-29,181.300003
2021-03-30,194.460007
2021-03-31,189.820007
